Training Size	Validation Size	Test Size	LSTM Hidden Size	Dense Hidden Size	Dropout Rate	Learning Rate	Batch Size	Training Acc (ES)	Training Acc	Validation Acc (ES)	Validation Acc	Testing Acc
100	2000	12500	64	32	0.2	0.001	32	0.9037	0.9474	0.6027	0.5667	0.5732
200	2000	12500	32	256	0.3	0.001	32	0.9753	0.9987	0.6757	0.6441	0.6469
300	2000	12500	64	128	0.1	0.001	32	0.9303	0.9964	0.6914	0.6674	0.6729
400	2000	12500	16	128	0.1	0.001	32	0.9726	0.9997	0.7298	0.7034	0.7081
500	2000	12500	16	256	0.4	0.001	32	0.9783	1	0.7413	0.718	0.7145
600	2000	12500	16	64	0.2	0.001	32	0.9778	0.9996	0.7465	0.7251	0.7249
700	2000	12500	64	128	0.4	0.001	32	0.9611	0.9975	0.7395	0.731	0.7369
800	2000	12500	16	128	0.1	0.001	32	0.9829	0.9998	0.7827	0.7614	0.7516
900	2000	12500	16	128	0.2	0.001	32	0.9791	0.9998	0.7841	0.7588	0.758
1000	2000	12500	32	32	0.2	0.001	32	0.9742	0.9994	0.7802	0.758	0.7511
2000	2000	12500	16	128	0	0.001	32	0.9789	0.9999	0.8294	0.8092	0.8012
3000	2000	12500	64	256	0.3	0.001	32	0.95	0.9999	0.8412	0.8286	0.8161
4000	2000	12500	32	32	0.1	0.001	32	0.9605	0.9992	0.8469	0.8294	0.8224
5000	2000	12500	32	128	0.2	0.001	32	0.9562	0.9998	0.8641	0.8566	0.8307
6000	2000	12500	16	32	0.4	0.001	32	0.9271	0.9989	0.8493	0.8309	0.8314
7000	2000	12500	64	256	0.3	0.001	32	0.899	0.9991	0.8768	0.8581	0.8325
8000	2000	12500	16	32	0.3	0.001	32	0.9138	0.9987	0.8731	0.855	0.8359
9000	2000	12500	32	32	0.2	0.001	32	0.9415	0.9983	0.8697	0.8552	0.8374
10000	2000	12500	32	16	0	0.001	32	0.9162	0.9986	0.8742	0.8588	0.8394
11000	2000	12500	16	64	0.4	0.001	32	0.9201	0.9981	0.8808	0.8592	0.843
12000	2000	12500	16	64	0.3	0.001	32	0.8984	0.9981	0.8808	0.8621	0.8423
13000	2000	12500	128	64	0.4	0.001	32	0.9245	0.9974	0.8746	0.8549	0.8406
14000	2000	12500	16	64	0.4	0.001	32	0.8807	0.998	0.8889	0.8646	0.8419
