Training Size	Validation Size	Test Size	LSTM Hidden Size	Dense Hidden Size	Dropout Rate	Learning Rate	Batch Size	Training Acc (ES)	Training Acc	Validation Acc (ES)	Validation Acc	Testing Acc
100	2000	12500	256	256	0	0.001	32	0.8593	0.9573	0.5899	0.5559	0.5602
200	2000	12500	128	256	0	0.001	32	0.9056	0.9842	0.6461	0.6091	0.6142
300	2000	12500	256	128	0.2	0.001	32	0.8755	0.9726	0.6844	0.6406	0.6452
400	2000	12500	32	32	0.4	0.001	32	0.9391	0.9965	0.7125	0.6745	0.6782
500	2000	12500	16	256	0.3	0.001	32	0.9765	1	0.7458	0.7255	0.7274
600	2000	12500	16	128	0.2	0.001	32	0.9705	0.9989	0.7618	0.7391	0.7293
700	2000	12500	32	256	0.4	0.001	32	0.973	0.999	0.7573	0.7368	0.7202
800	2000	12500	128	256	0.1	0.001	32	0.9599	0.9977	0.758	0.7364	0.7401
900	2000	12500	32	256	0.1	0.001	32	0.9613	0.9999	0.773	0.7579	0.748
1000	2000	12500	256	256	0.2	0.001	32	0.9511	0.9921	0.7763	0.7557	0.7437
2000	2000	12500	16	32	0	0.001	32	0.9822	1	0.8195	0.7986	0.7836
3000	2000	12500	32	256	0.1	0.001	32	0.9534	1	0.8418	0.8267	0.8094
4000	2000	12500	64	128	0.4	0.001	32	0.9681	0.9997	0.8571	0.8478	0.8174
5000	2000	12500	32	64	0	0.001	32	0.9752	0.9998	0.8661	0.8582	0.8238
6000	2000	12500	16	32	0.1	0.001	32	0.9724	0.9997	0.8739	0.8629	0.8346
7000	2000	12500	16	32	0.4	0.001	32	0.9593	0.9984	0.8705	0.8535	0.8271
8000	2000	12500	16	32	0.1	0.001	32	0.9669	0.9988	0.8682	0.8581	0.8321
9000	2000	12500				0.001	32					
10000	2000	12500				0.001	32					
11000	2000	12500	16	128	0.4	0.001	32	0.9501	0.9989	0.8836	0.8703	0.8311
12000	2000	12500	64	32	0	0.001	32	0.961	0.9992	0.8796	0.8691	0.8331
13000	2000	12500	32	128	0	0.001	32	0.9341	0.999	0.8907	0.878	0.8318
14000	2000	12500	128	64	0.4	0.001	32					
