Training Size	Validation Size	Test Size	LSTM Hidden Size	Dense Hidden Size	Dropout Rate	Learning Rate	Batch Size	Training Acc (ES)	Training Acc	Validation Acc (ES)	Validation Acc	Testing Acc
100	2000	12500	16	64	0.4	0.001	32	0.9467	0.9828	0.6354	0.5853	0.5843
200	2000	12500	16	64	0.4	0.001	32	0.9796	0.9948	0.6767	0.6345	0.6334
300	2000	12500	16	64	0.4	0.001	32	0.9833	0.9991	0.7074	0.6703	0.6722
400	2000	12500	16	64	0.4	0.001	32	0.9695	0.9998	0.7273	0.696	0.692
500	2000	12500	16	64	0.4	0.001	32	0.9679	0.9992	0.7457	0.7159	0.7135
600	2000	12500	16	64	0.4	0.001	32	0.9796	0.9994	0.7567	0.7323	0.7278
700	2000	12500	16	64	0.4	0.001	32	0.9528	0.9993	0.7606	0.7302	0.7227
800	2000	12500	16	64	0.4	0.001	32	0.9779	0.9911	0.7805	0.7563	0.7561
900	2000	12500	16	64	0.4	0.001	32	0.9754	0.9996	0.7816	0.7587	0.7531
1000	2000	12500	16	64	0.4	0.001	32	0.9816	0.9998	0.7936	0.7724	0.7549
2000	2000	12500	16	64	0.4	0.001	32	0.9764	0.9996	0.8333	0.8137	0.7987
3000	2000	12500	16	64	0.4	0.001	32	0.9776	0.9999	0.843	0.8293	0.817
4000	2000	12500	16	64	0.4	0.001	32	0.9626	0.9992	0.8529	0.8382	0.8168
5000	2000	12500	16	64	0.4	0.001	32	0.9767	0.9995	0.8557	0.8441	0.8263
6000	2000	12500	16	64	0.4	0.001	32	0.9354	0.9992	0.8685	0.8544	0.8237
7000	2000	12500	16	64	0.4	0.001	32	0.9692	0.9989	0.8695	0.8569	0.8344
8000	2000	12500	16	64	0.4	0.001	32	0.9655	0.999	0.8751	0.863	0.8311
9000	2000	12500	16	64	0.4	0.001	32	0.9711	0.9989	0.8837	0.8727	0.8345
10000	2000	12500	16	64	0.4	0.001	32	0.9611	0.9986	0.8785	0.8634	0.8308
11000	2000	12500	16	64	0.4	0.001	32	0.9497	0.9989	0.8784	0.8637	0.8296
12000	2000	12500	16	64	0.4	0.001	32	0.9748	0.9988	0.8835	0.8733	0.8343
13000	2000	12500	16	64	0.4	0.001	32	0.964	0.9988	0.8988	0.8873	0.8371
14000	2000	12500	16	64	0.4	0.001	32	0.9503	0.9985	0.8905	0.8758	0.8384
