Training Size	Validation Size	Test Size	LSTM Hidden Size	Dense Hidden Size	Dropout Rate	Learning Rate	Batch Size	Training Acc (ES)	Training Acc	Validation Acc (ES)	Validation Acc	Testing Acc
100	2000	12500	16	256	0.1	3.00E-04	32	0.5379	0.5711	0.5002	0.4919	0.504
200	2000	12500	16	256	0.1	3.00E-04	32	0.5168	0.5577	0.4948	0.493	0.5036
300	2000	12500	16	256	0.1	3.00E-04	32	0.9488	0.9848	0.7047	0.6703	0.6905
400	2000	12500	16	256	0.1	3.00E-04	32	0.9926	0.9995	0.7355	0.7062	0.7217
500	2000	12500	16	256	0.1	3.00E-04	32	0.978	0.9995	0.748	0.7237	0.7261
600	2000	12500	16	256	0.1	3.00E-04	32	0.9814	0.9988	0.7664	0.7436	0.7384
700	2000	12500	16	256	0.1	3.00E-04	32	0.9838	0.9994	0.7812	0.7528	0.7556
800	2000	12500	16	256	0.1	3.00E-04	32	0.9726	0.999	0.7963	0.7685	0.7594
900	2000	12500	16	256	0.1	3.00E-04	32	0.9796	0.9997	0.7921	0.7686	0.7727
1000	2000	12500	16	256	0.1	3.00E-04	32	0.985	0.9992	0.8066	0.788	0.7765
2000	2000	12500	16	256	0.1	3.00E-04	32	0.9952	0.9998	0.8523	0.8352	0.8176
3000	2000	12500	16	256	0.1	3.00E-04	32	0.9919	0.9993	0.8767	0.8569	0.8387
4000	2000	12500	16	256	0.1	3.00E-04	32	0.9934	0.9998	0.8975	0.8835	0.8459
5000	2000	12500	16	256	0.1	3.00E-04	32	0.9926	0.9998	0.8935	0.8792	0.8476
6000	2000	12500	16	256	0.1	3.00E-04	32	0.989	0.9997	0.9036	0.8907	0.8547
7000	2000	12500	16	256	0.1	3.00E-04	32	0.9887	0.9996	0.9139	0.9009	0.8587
8000	2000	12500	16	256	0.1	3.00E-04	32	0.9922	0.9996	0.913	0.9025	0.8605
9000	2000	12500	16	256	0.1	3.00E-04	32	0.9928	0.9998	0.9188	0.906	0.8628
10000	2000	12500	16	256	0.1	3.00E-04	32	0.9892	0.9997	0.9238	0.9133	0.8639
11000	2000	12500	16	256	0.1	3.00E-04	32	0.9901	0.9998	0.918	0.9087	0.8675
12000	2000	12500	16	256	0.1	3.00E-04	32	0.987	0.9995	0.9278	0.9197	0.8665
13000	2000	12500	16	256	0.1	3.00E-04	32	0.9891	0.9996	0.9179	0.9111	0.8651
14000	2000	12500	16	256	0.1	3.00E-04	32	0.9945	0.9997	0.9279	0.9209	0.8693
